variant_key,file,total_points,-15C,-7C,+2C,+7C,+12C,TOL
Airwell_Residential_S_A_S__WELLEA_MONOBLOC_5_7_9_KW_1ph_Outdoor_Air_Water_15::WELLEA MONOBLOC 5KW,Airwell_Residential_S_A_S__WELLEA_MONOBLOC_5_7_9_KW_1ph_Outdoor_Air_Water_15.json,8,0,2,2,2,2,0
Airwell_Residential_S_A_S__WELLEA_MONOBLOC_5_7_9_KW_1ph_Outdoor_Air_Water_15::WELLEA MONOBLOC 7KW,Airwell_Residential_S_A_S__WELLEA_MONOBLOC_5_7_9_KW_1ph_Outdoor_Air_Water_15.json,8,0,2,2,2,2,0
Airwell_Residential_S_A_S__WELLEA_MONOBLOC_5_7_9_KW_1ph_Outdoor_Air_Water_15::WELLEA MONOBLOC 9KW,Airwell_Residential_S_A_S__WELLEA_MONOBLOC_5_7_9_KW_1ph_Outdoor_Air_Water_15.json,8,0,2,2,2,2,0
Airwell_Residential_S_A_S__WELLEA_M_DF_HT_26_30_35_40_kW_Outdoor_Air_Water_12::BDHX-260R-04T35,Airwell_Residential_S_A_S__WELLEA_M_DF_HT_26_30_35_40_kW_Outdoor_Air_Water_12.json,24,2,4,6,6,6,0
Airwell_Residential_S_A_S__WELLEA_M_DF_HT_26_30_35_40_kW_Outdoor_Air_Water_12::BDHX-300R-04T35,Airwell_Residential_S_A_S__WELLEA_M_DF_HT_26_30_35_40_kW_Outdoor_Air_Water_12.json,24,2,4,6,6,6,0
Airwell_Residential_S_A_S__WELLEA_M_DF_HT_26_30_35_40_kW_Outdoor_Air_Water_12::BDHX-350R-04T35,Airwell_Residential_S_A_S__WELLEA_M_DF_HT_26_30_35_40_kW_Outdoor_Air_Water_12.json,24,2,4,6,6,6,0
Airwell_Residential_S_A_S__WELLEA_M_DF_HT_26_30_35_40_kW_Outdoor_Air_Water_12::BDHX-400R-04T35,Airwell_Residential_S_A_S__WELLEA_M_DF_HT_26_30_35_40_kW_Outdoor_Air_Water_12.json,24,2,4,6,6,6,0
Airwell_Residential_S_A_S__Wellea_A_12_14_16_kW_Outdoor_Air_Water_5::AW-WHPMA12-H91,Airwell_Residential_S_A_S__Wellea_A_12_14_16_kW_Outdoor_Air_Water_5.json,24,2,4,6,6,6,0
Airwell_Residential_S_A_S__Wellea_A_12_14_16_kW_Outdoor_Air_Water_5::AW-WHPMA12-H93,Airwell_Residential_S_A_S__Wellea_A_12_14_16_kW_Outdoor_Air_Water_5.json,24,2,4,6,6,6,0
Airwell_Residential_S_A_S__Wellea_A_12_14_16_kW_Outdoor_Air_Water_5::AW-WHPMA14-H91,Airwell_Residential_S_A_S__Wellea_A_12_14_16_kW_Outdoor_Air_Water_5.json,24,2,4,6,6,6,0
Airwell_Residential_S_A_S__Wellea_A_12_14_16_kW_Outdoor_Air_Water_5::AW-WHPMA14-H93,Airwell_Residential_S_A_S__Wellea_A_12_14_16_kW_Outdoor_Air_Water_5.json,24,2,4,6,6,6,0
Airwell_Residential_S_A_S__Wellea_A_12_14_16_kW_Outdoor_Air_Water_5::AW-WHPMA16-H91,Airwell_Residential_S_A_S__Wellea_A_12_14_16_kW_Outdoor_Air_Water_5.json,24,2,4,6,6,6,0
Airwell_Residential_S_A_S__Wellea_A_12_14_16_kW_Outdoor_Air_Water_5::AW-WHPMA16-H93,Airwell_Residential_S_A_S__Wellea_A_12_14_16_kW_Outdoor_Air_Water_5.json,24,2,4,6,6,6,0
Airwell_Residential_S_A_S__Wellea_A_12_14_16_kW_Outdoor_Air_Water_5::AW-YHPSA12-H91 + AWWHPSA1216-N91,Airwell_Residential_S_A_S__Wellea_A_12_14_16_kW_Outdoor_Air_Water_5.json,24,2,4,6,6,6,0
Airwell_Residential_S_A_S__Wellea_A_12_14_16_kW_Outdoor_Air_Water_5::AW-YHPSA12-H93 + AWWHPSA1216-N93,Airwell_Residential_S_A_S__Wellea_A_12_14_16_kW_Outdoor_Air_Water_5.json,24,2,4,6,6,6,0
Airwell_Residential_S_A_S__Wellea_A_12_14_16_kW_Outdoor_Air_Water_5::AW-YHPSA14-H91 + AWWHPSA1216-N91,Airwell_Residential_S_A_S__Wellea_A_12_14_16_kW_Outdoor_Air_Water_5.json,24,2,4,6,6,6,0
Airwell_Residential_S_A_S__Wellea_A_12_14_16_kW_Outdoor_Air_Water_5::AW-YHPSA14-H93 + AWWHPSA1216-N93,Airwell_Residential_S_A_S__Wellea_A_12_14_16_kW_Outdoor_Air_Water_5.json,24,2,4,6,6,6,0
Airwell_Residential_S_A_S__Wellea_A_12_14_16_kW_Outdoor_Air_Water_5::AW-YHPSA16-H91 + AWWHPSA1216-N91,Airwell_Residential_S_A_S__Wellea_A_12_14_16_kW_Outdoor_Air_Water_5.json,24,2,4,6,6,6,0
Airwell_Residential_S_A_S__Wellea_A_12_14_16_kW_Outdoor_Air_Water_5::AW-YHPSA16-H93 + AWWHPSA1216-N93,Airwell_Residential_S_A_S__Wellea_A_12_14_16_kW_Outdoor_Air_Water_5.json,24,2,4,6,6,6,0
